group_id,domain,filename,logo_url
1,263.net.cn,263.net.cn__8145d1fc_1433.png,https://www.google.com/s2/favicons?sz=64&domain=263.net.cn
2,aamco-bellevue.com,aamco-bellevue.com__93d33a4b_589.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-bellevue.com
2,aamco-chesapeakeva.com,aamco-chesapeakeva.com__e78584df_1332.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-chesapeakeva.com
2,aamco-corpuschristi.com,aamco-corpuschristi.com__21c2b456_2078.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-corpuschristi.com
2,aamco-councilbluffs.com,aamco-councilbluffs.com__8ef87249_131.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-councilbluffs.com
2,aamco-duluthga.com,aamco-duluthga.com__e964a745_3588.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-duluthga.com
2,aamco-newbraunfels.com,aamco-newbraunfels.com__542d6100_254.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-newbraunfels.com
2,aamco-omahanorth.com,aamco-omahanorth.com__eb76a524_2153.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-omahanorth.com
2,aamco-omahasouth.com,aamco-omahasouth.com__3552af1a_414.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-omahasouth.com
2,aamco-omahawest.com,aamco-omahawest.com__420a1c8e_705.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-omahawest.com
2,aamco-taylorsvilleut.com,aamco-taylorsvilleut.com__4df7e84b_897.png,https://www.google.com/s2/favicons?sz=64&domain=aamco-taylorsvilleut.com
2,aamcoabingtonpa.com,aamcoabingtonpa.com__c378f7ed_2993.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoabingtonpa.com
2,aamcoahwatukee.com,aamcoahwatukee.com__282f9f3b_3957.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoahwatukee.com
2,aamcoalbuquerque.com,aamcoalbuquerque.com__3cc17948_1236.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoalbuquerque.com
2,aamcoalexandriava.com,aamcoalexandriava.com__f4f8b5f7_740.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoalexandriava.com
2,aamcoaloha.com,aamcoaloha.com__340f07c7_1463.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoaloha.com
2,aamcoantiochca.com,aamcoantiochca.com__58389f64_3977.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoantiochca.com
2,aamcoarlington-pantego.com,aamcoarlington-pantego.com__73c3d697_2499.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoarlington-pantego.com
2,aamcoastoria.com,aamcoastoria.com__48213452_1123.png,https://www.google.com/s2/favicons?sz=64&domain=aamcoastoria.com
